,Code,Description1
7690,G9217001003,Pcp prophylaxis was not prescribed within 3 months of low cd4+ cell count below
7691,G9217002004,"200 cells/mm3, reason not given"
7692,G9218001003,Pcp prophylaxis was not prescribed within 3 months oflow cd4+ cell count below
7693,G9218002004,"500 cells/mm3 or a cd4 percentage below 15%, reason not given"
7694,G9219001003,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of
7695,G9219002004,"low cd4+ cell count below 200 cells/mm3 for medical reason (i.e., patient's"
7696,G9219003004,cd4+ cell count above threshold within 3 months after cd4+ cell count below
7697,G9219004004,"threshold, indicating that the patient's cd4+ levels are within an acceptable"
7698,G9219005004,range and the patient does not require pcp prophylaxis)
7699,G9220001003,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of
7700,G9220002004,low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15% for
7701,G9220003004,"medical reason (i.e., patient's cd4+ cell count above threshold within 3 months"
7702,G9220004004,"after cd4+ cell count below threshold, indicating that the patient's cd4+"
7703,G9220005004,levels are within an acceptable range and the patient does not require pcp
7704,G9220006004,prophylaxis)
7705,G9221001003,Pneumocystis jiroveci pneumonia prophlaxis prescribed
7706,G9222001003,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low
7707,G9222002004,cd4+ cell count below 200 cells/mm3
7708,G9223001003,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low
7709,G9223002004,cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%
7710,G9224001003,"Documentation of medical reason for not performing foot exam (e.g., patient"
7711,G9224002004,with bilateral foot/leg amputation)
7712,G9225001003,"Foot exam was not performed, reason not given"
7713,G9226001003,"Foot examination performed (includes examination through visual inspection,"
7714,G9226002004,sensory exam with 10-g monofilament plus testing any one of the following:
7715,G9226003004,"vibration using 128-hz tuning fork, pinprick sensation, ankle reflexes, or"
7716,G9226004004,"vibration perception threshold, and pulse exam; report when all of the 3"
7717,G9226005004,components are completed)
7718,G9227001003,"Functional outcome assessment documented, care plan not documented,"
7719,G9227002004,documentation the patient is not eligible for a care plan at the time of the
7720,G9227003004,encounter
7721,G9228001003,"Chlamydia, gonorrhea and syphilis screening results documented (report when"
7722,G9228002004,results are present for all of the 3 screenings)
7723,G9229001003,"Chlamydia, gonorrhea, and syphilis screening results not documented (patient"
7724,G9229002004,refusal is the only allowed exception)
7725,G9230001003,"Chlamydia, gonorrhea, and syphilis not screened, reason not given"
7726,G9231001003,"Documentation of end stage renal disease (esrd), dialysis, renal transplant"
7727,G9231002004,before or during the measurement period or pregnancy during the measurement
7728,G9231003004,period
7729,G9232001003,Clinician treating major depressive disorder did not communicate to clinician
7730,G9232002004,"treating comorbid condition for specified patient reason (e.g., patient is"
7731,G9232003004,unable to communicate the diagnosis of a comorbid condition; the patient is
7732,G9232004004,unwilling to communicate the diagnosis of a comorbid condition; or the patient
7733,G9232005004,"is unaware of the comorbid condition, or any other specified patient reason)"
7734,G9233001003,All quality actions for the applicable measures in the total knee replacement
7735,G9233002004,measures group have been performed for this patient
7736,G9234001003,I intend to report the total knee replacement measures group
7737,G9235001003,All quality actions for the applicable measures in the general surgery measures
7738,G9235002004,group have been performed for this patient
7739,G9236001003,All quality actions for the applicable measures in the optimizing patient
7740,G9236002004,exposure to ionizing radiation measures group have been performed for this
7741,G9236003004,patient
7742,G9237001003,I intend to report the general surgery measures group
7743,G9238001003,I intend to report the optimizing patient exposure to ionizing radiation
7744,G9238002004,measures group
7745,G9239001003,Documentation of reasons for patient initiating maintenance hemodialysis with a
7746,G9239002004,"catheter as the mode of vascular access (e.g., patient has a maturing"
7747,G9239003004,"arteriovenous fistula (avf)/arteriovenous graft (avg), time-limited trial of"
7748,G9239004004,"hemodialysis, other medical reasons, patient declined avf/avg, other patient"
7749,G9239005004,"reasons, patient followed by reporting nephrologist for fewer than 90 days,"
7750,G9239006004,other system reasons)
7751,G9240001003,Patient whose mode of vascular access is a catheter at the time maintenance
7752,G9240002004,hemodialysis is initiated
7753,G9241001003,Patient whose mode of vascular access is not a catheter at the time maintenance
7754,G9241002004,hemodialysis is initiated
7755,G9242001003,Documentation of viral load equal to or greater than 200 copies/ml or viral
7756,G9242002004,load not performed
7757,G9243001003,Documentation of viral load less than 200 copies/ml
7758,G9244001003,Antiretroviral thereapy not prescribed
7759,G9245001003,Antiretroviral therapy prescribed
7760,G9246001003,Patient did not have two eligible encounters at least 90 days apart or one
7761,G9246002004,eligible encounter and one hiv viral load test at least 90 days apart
7762,G9247001003,Patient had two eligible encounters at least 90 days apart or one eligible
7763,G9247002004,encounter and one hiv viral load test at least 90 days apart
7764,G9248001003,Patient did not have a medical visit in the last 6 months
7765,G9249001003,Patient had a medical visit in the last 6 months
7766,G9250001003,Documentation of patient pain brought to a comfortable level within 48 hours
7767,G9250002004,from initial assessment
7768,G9251001003,Documentation of patient with pain not brought to a comfortable level within 48
7769,G9251002004,hours from initial assessment
7770,G9252001003,Adenoma(s) or other neoplasm detected during screening colonoscopy
7771,G9253001003,Adenoma(s) or other neoplasm not detected during screening colonoscopy
7772,G9254001003,Documentation of patient discharged to home later than post-operative day 2
7773,G9254002004,following cea or cas
7774,G9255001003,Documentation of patient discharged to home no later than post operative day 2
7775,G9255002004,following cea or cas
7776,G9256001003,Documentation of patient death following cas
7777,G9257001003,Documentation of patient stroke following cas
7778,G9258001003,Documentation of patient stroke following cea
7779,G9259001003,Documentation of patient survival and absence of stroke following cas
7780,G9260001003,Documentation of patient death following cea
7781,G9261001003,Documentation of patient survival and absence of stroke following cea
7782,G9262001003,Documentation of patient death in the hospital following endovascular aaa repai
7783,G9263001003,Documentation of patient discharged alive following endovascular aaa repair
7784,G9264001003,Documentation of patient receiving maintenance hemodialysis for greater than or
7785,G9264002004,"equal to 90 days with a catheter for documented reasons (e.g., other medical"
7786,G9264003004,"reasons, patient declined arteriovenous fistula (avf)/arteriovenous graft"
7787,G9264004004,"(avg), other patient reasons)"
7788,G9265001003,Patient receiving maintenance hemodialysis for greater than or equal to 90 days
7789,G9265002004,with a catheter as the mode of vascular access
7790,G9266001003,Patient receiving maintenance hemodialysis for greater than or equal to 90 days
7791,G9266002004,without a catheter as the mode of vascular access
7792,G9267001003,Documentation of patient with one or more complications or mortality within 30
7793,G9267002004,days
7794,G9268001003,Documentation of patient with one or more complications within 90 days
7795,G9269001003,Documentation of patient without one or more complications and without
7796,G9269002004,mortality within 30 days
7797,G9270001003,Documentation of patient without one or more complications within 90 days
7798,G9271001003,Ldl value < 100
7799,G9272001003,Ldl value >= 100
7800,G9273001003,Blood pressure has a systolic value of < 140 and a diastolic value of < 90
7801,G9274001003,Blood pressure has a systolic value of =140 and a diastolic value of = 90 or
7802,G9274002004,systolic value < 140 and diastolic value = 90 or systolic value = 140 and
7803,G9274003004,diastolic value < 90
7804,G9275001003,Documentation that patient is a current non-tobacco user
7805,G9276001003,Documentation that patient is a current tobacco user
7806,G9277001003,Documentation that the patient is on daily aspirin or anti-platelet or has
7807,G9277002004,documentation of a valid contraindication or exception to
7808,G9277003004,"aspirin/anti-platelet; contraindications/exceptions include anti-coagulant use,"
7809,G9277004004,"allergy to aspirin or anti-platelets, history of gastrointestinal bleed and"
7810,G9277005004,"bleeding disorder; additionally, the following exceptions documented by the"
7811,G9277006004,physician as a reason for not taking daily aspirin or anti-platelet are
7812,G9277007004,"acceptable (use of non-steroidal anti-inflammatory agents, documented risk for"
7813,G9277008004,"drug interaction, uncontrolled hypertension defined as >180 systolic or >110"
7814,G9277009004,diastolic or gastroesophageal reflux)
7815,G9278001003,Documentation that the patient is not on daily aspirin or anti-platelet regimen
7816,G9279001003,Pneumococcal screening performed and documentation of vaccination received
7817,G9279002004,prior to discharge
7818,G9280001003,"Pneumococcal vaccination not administered prior to discharge, reason not"
7819,G9280002004,specified
7820,G9281001003,Screening performed and documentation that vaccination not indicated/patient
7821,G9281002004,refusal
7822,G9282001003,Documentation of medical reason(s) for not reporting the histological type or
7823,G9282002004,"nsclc-nos classification with an explanation (e.g., biopsy taken for other"
7824,G9282003004,purposes in a patient with a history of non-small cell lung cancer or other
7825,G9282004004,documented medical reasons)
7826,G9283001003,Non small cell lung cancer biopsy and cytology specimen report documents
7827,G9283002004,classification into specific histologic type or classified as nsclc-nos with an
7828,G9283003004,explanation
7829,G9284001003,Non small cell lung cancer biopsy and cytology specimen report does not
7830,G9284002004,document classification into specific histologic type or classified as
7831,G9284003004,nsclc-nos with an explanation
7832,G9285001003,Specimen site other than anatomic location of lung or is not classified as non
7833,G9285002004,small cell lung cancer
7834,G9286001003,Antibiotic regimen prescribed within 10 days after onset of symptoms
7835,G9287001003,Antibiotic regimen not prescribed within 10 days after onset of symptoms
7836,G9288001003,Documentation of medical reason(s) for not reporting the histological type or
7837,G9288002004,"nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in"
7838,G9288003004,a person with a history of non-small cell carcinoma or other documented medical
7839,G9288004004,reasons)
7840,G9289001003,Non small cell lung cancer biopsy and cytology specimen report documents
7841,G9289002004,classification into specific histologic type or classified as nsclc-nos with an
7842,G9289003004,explanation
7843,G9290001003,Non small cell lung cancer biopsy and cytology specimen report does not
7844,G9290002004,document classification into specific histologic type or classified as
7845,G9290003004,nsclc-nos with an explanation
7846,G9291001003,"Specimen site other than anatomic location of lung, is not classified as non"
7847,G9291002004,small cell lung cancer or classified as nsclc-nos
7848,G9292001003,Documentation of medical reason(s) for not reporting pt category and a
7849,G9292002004,"statement on thickness and ulceration and for pt1, mitotic rate (e.g., negative"
7850,G9292003004,skin biopsies in a patient with a history of melanoma or other documented
7851,G9292004004,medical reasons)
7852,G9293001003,Pathology report does not include the pt category and a statement on thickness
7853,G9293002004,"and ulceration and for pt1, mitotic rate"
7854,G9294001003,Pathology report includes the pt category and a statement on thickness and
7855,G9294002004,"ulceration and for pt1, mitotic rate"
7856,G9295001003,Specimen site other than anatomic cutaneous location
7857,G9296001003,Patients with documented shared decision-making including discussion of
7858,G9296002004,"conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss,"
7859,G9296003004,"exercise, injections) prior to the procedure"
7860,G9297001003,Shared decision-making including discussion of conservative (non-surgical)
7861,G9297002004,"therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to"
7862,G9297003004,"the procedure, not documented, reason not given"
7863,G9298001003,Patients who are evaluated for venous thromboembolic and cardiovascular risk
7864,G9298002004,"factors within 30 days prior to the procedure (e.g., history of dvt, pe, mi,"
7865,G9298003004,arrhythmia and stroke)
7866,G9299001003,Patients who are not evaluated for venous thromboembolic and cardiovascular
7867,G9299002004,"risk factors within 30 days prior to the procedure (e.g., history of dvt, pe,"
7868,G9299003004,"mi, arrhythmia and stroke, reason not given)"
7869,G9300001003,Documentation of medical reason(s) for not completely infusing the prophylactic
7870,G9300002004,"antibiotic prior to the inflation of the proximal tourniquet (e.g., a"
7871,G9300003004,tourniquet was not used)
7872,G9301001003,Patients who had the prophylactic antibiotic completely infused prior to the
7873,G9301002004,inflation of the proximal tourniquet
7874,G9302001003,Prophylactic antibiotic not completely infused prior to the inflation of the
7875,G9302002004,"proximal tourniquet, reason not given"
7876,G9303001003,Operative report does not identify the prosthetic implant specifications
7877,G9303002004,"including the prosthetic implant manufacturer, the brand name of the prosthetic"
7878,G9303003004,"implant and the size of each prosthetic implant, reason not given"
7879,G9304001003,Operative report identifies the prosthetic implant specifications including the
7880,G9304002004,"prosthetic implant manufacturer, the brand name of the prosthetic implant and"
7881,G9304003004,the size of each prosthetic implant
7882,G9305001003,Intervention for presence of leak of endoluminal contents through an
7883,G9305002004,anastomosis not required
7884,G9306001003,Intervention for presence of leak of endoluminal contents through an
7885,G9306002004,anastomosis required
7886,G9307001003,"No return to the operating room for a surgical procedure, for complications of"
7887,G9307002004,"the principal operative procedure, within 30 days of the principal operative"
7888,G9307003004,procedure
7889,G9308001003,"Unplanned return to the operating room for a surgical procedure, for"
7890,G9308002004,"complications of the principal operative procedure, within 30 days of the"
7891,G9308003004,principal operative procedure
7892,G9309001003,No unplanned hospital readmission within 30 days of principal procedure
7893,G9310001003,Unplanned hospital readmission within 30 days of principal procedure
7894,G9311001003,No surgical site infection
7895,G9312001003,Surgical site infection
7896,G9313001003,"Amoxicillin, with or without clavulanate, not prescribed as first line"
7897,G9313002004,antibiotic at the time of diagnosis for documented reason
7898,G9314001003,"Amoxicillin, with or without clavulanate, not prescribed as first line"
7899,G9314002004,"antibiotic at the time of diagnosis, reason not given"
7900,G9315001003,"Amoxicillin, with or without clavulanate, prescribed as a first line antibiotic"
7901,G9315002004,at the time of diagnosis
7902,G9316001003,Documentation of patient-specific risk assessment with a risk calculator based
7903,G9316002004,"on multi-institutional clinical data, the specific risk calculator used, and"
7904,G9316003004,communication of risk assessment from risk calculator with the patient or famil
7905,G9317001003,Documentation of patient-specific risk assessment with a risk calculator based
7906,G9317002004,"on multi-institutional clinical data, the specific risk calculator used, and"
7907,G9317003004,communication of risk assessment from risk calculator with the patient or
7908,G9317004004,family not completed
7909,G9318001003,Imaging study named according to standardized nomenclature
7910,G9319001003,"Imaging study not named according to standardized nomenclature, reason not give"
7911,G9320001003,Documentation of medical reason(s) for not naming ct studies according to a
7912,G9320002004,"standardized nomenclature provided (eg, ct studies performed for radiation"
7913,G9320003004,treatment planning or image-guided radiation treatment delivery)
7914,G9321001003,Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial
7915,G9321002004,perfusion or infarct avid imaging) studies documented in the 12-month period
7916,G9321003004,prior to the current study
7917,G9322001003,Count of previous ct and cardiac nuclear medicine (myocardial perfusion or
7918,G9322002004,infarct avid imaging) studies not documented in the 12-month period prior to
7919,G9322003004,"the current study, reason not given"
7920,G9323001003,Documentation of medical reason(s) for not counting previous ct and cardiac
7921,G9323002004,"nuclear medicine (myocardial perfusion) studies (eg, ct studies performed for"
7922,G9323003004,radiation treatment planning or image-guided radiation treatment delivery)
7923,G9324001003,"All necessary data elements not included, reason not given"
7924,G9325001003,Ct studies not reported to a radiation dose index registry due to medical
7925,G9325002004,"reasons (eg, ct studies performed for radiation treatment planning or"
7926,G9325003004,image-guided radiation treatment delivery)
7927,G9326001003,Ct studies performed not reported to a radiation dose index registry that is
7928,G9326002004,"capable of collecting at a minimum all necessary data elements, reason not give"
7929,G9327001003,Ct studies performed reported to a radiation dose index registry that is
7930,G9327002004,capable of collecting at a minimum all necessary data elements
7931,G9328001003,Dicom format image data availability not documented in final report due to
7932,G9328002004,"medical reasons (eg, ct studies performed for radiation treatment planning or"
7933,G9328003004,image-guided radiation treatment delivery)
7934,G9329001003,Dicom format image data available to non-affiliated external healthcare
7935,G9329002004,"facilities or entities on a secure, media free, reciprocally searchable basis"
7936,G9329003004,with patient authorization for at least a 12-month period after the study not
7937,G9329004004,"documented in final report, reason not given"
7938,G9340001003,Final report documented that dicom format image data available to
7939,G9340002004,"non-affiliated external healthcare facilities or entities on a secure, media"
7940,G9340003004,"free, reciprocally searchable basis with patient authorization for at least a"
7941,G9340004004,12-month period after the study
7942,G9341001003,Search conducted for prior patient ct studies completed at non-affiliated
7943,G9341002004,external healthcare facilities or entities within the past 12-months and are
7944,G9341003004,"available through a secure, authorized, media-free, shared archive prior to an"
7945,G9341004004,imaging study being performed
7946,G9342001003,Search not conducted prior to an imaging study being performed for prior
7947,G9342002004,patient ct studies completed at non-affiliated external healthcare facilities
7948,G9342003004,"or entities within the past 12-months and are available through a secure,"
7949,G9342004004,"authorized, media-free, shared archive, reason not given"
7950,G9343001003,"Due to medical reasons, search not conducted for dicom format images for prior"
7951,G9343002004,patient ct imaging studies completed at non-affiliated external healthcare
7952,G9343003004,facilities or entities within the past 12 months that are available through a
7953,G9343004004,"secure, authorized, media-free, shared archive (e.g., ct studies performed for"
7954,G9343005004,radiation treatment planning or image-guided radiation treatment delivery)
7955,G9344001003,Due to system reasons search not conducted for dicom format images for prior
7956,G9344002004,patient ct imaging studies completed at non-affiliated external healthcare
7957,G9344003004,facilities or entities within the past 12 months that are available through a
7958,G9344004004,"secure, authorized, media-free, shared archive (e.g., non-affiliated external"
7959,G9344005004,healthcare facilities or entities does not have archival abilities through a
7960,G9344006004,shared archival system)
7961,G9345001003,Follow-up recommendations documented according to recommended guidelines for
7962,G9345002004,"incidentally detected pulmonary nodules (e.g., follow-up ct imaging studies"
7963,G9345003004,needed or that no follow-up is needed) based at a minimum on nodule size and
7964,G9345004004,patient risk factors
7965,G9346001003,Follow-up recommendations not documented according to recommended guidelines
7966,G9346002004,"for incidentally detected pulmonary nodules due to medical reasons (e.g.,"
7967,G9346003004,"patients with known malignant disease, patients with unexplained fever, ct"
7968,G9346004004,studies performed for radiation treatment planning or image-guided radiation
7969,G9346005004,treatment delivery)
7970,G9347001003,Follow-up recommendations not documented according to recommended guidelines
7971,G9347002004,"for incidentally detected pulmonary nodules, reason not given"
7972,G9348001003,Ct scan of the paranasal sinuses ordered at the time of diagnosis for
7973,G9348002004,documented reasons
7974,G9349001003,Ct scan of the paranasal sinuses ordered at the time of diagnosis or received
7975,G9349002004,within 28 days after date of diagnosis
7976,G9350001003,Ct scan of the paranasal sinuses not ordered at the time of diagnosis or
7977,G9350002004,received within 28 days after date of diagnosis
7978,G9351001003,More than one ct scan of the paranasal sinuses ordered or received within 90
7979,G9351002004,days after diagnosis
7980,G9352001003,More than one ct scan of the paranasal sinuses ordered or received within 90
7981,G9352002004,"days after the date of diagnosis, reason not given"
7982,G9353001003,More than one ct scan of the paranasal sinuses ordered or received within 90
7983,G9353002004,"days after the date of diagnosis for documented reasons (eg, patients with"
7984,G9353003004,"complications, second ct obtained prior to surgery, other medical reasons)"
7985,G9354001003,One ct scan or no ct scan of the paranasal sinuses ordered within 90 days after
7986,G9354002004,the date of diagnosis
7987,G9355001003,Elective delivery (without medical indication) by cesarean birth or induction
7988,G9355002004,of labor not performed (<39 weeks of gestation)
7989,G9356001003,Elective delivery (without medical indication) by cesarean birth or induction
7990,G9356002004,of labor performed (<39 weeks of gestation)
7991,G9357001003,"Post-partum screenings, evaluations and education performed"
7992,G9358001003,"Post-partum screenings, evaluations and education not performed"
7993,G9359001003,Documentation of negative or managed positive tb screen with further evidence
7994,G9359002004,that tb is not active prior to treatment with a biologic immune response
7995,G9359003004,modifier
7996,G9360001003,No documentation of negative or managed positive tb screen
7997,G9361001003,Medical indication for delivery by cesarean birth or induction of labor (<39
7998,G9361002004,"weeks of gestation) [documentation of reason(s) for elective delivery (e.g.,"
7999,G9361003004,"hemorrhage and placental complications, hypertension, preeclampsia and"
8000,G9361004004,"eclampsia, rupture of membranes (premature or prolonged), maternal conditions"
8001,G9361005004,"complicating pregnancy/delivery, fetal conditions complicating"
8002,G9361006004,"pregnancy/delivery, late pregnancy, prior uterine surgery, or participation in"
8003,G9361007004,clinical trial)]
8004,G9362001003,Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb)
8005,G9362002004,without the use of general anesthesia during an applicable procedure 60 minutes
8006,G9362003004,"or longer, as documented in the anesthesia record"
8007,G9363001003,Duration of monitored anesthesia care (mac) or peripheral nerve block (pnb)
8008,G9363002004,without the use of general anesthesia during an applicable procedure or general
8009,G9363003004,"or neuraxial anesthesia less than 60 minutes, as documented in the anesthesia"
8010,G9363004004,record
8011,G9364001003,"Sinusitis caused by, or presumed to be caused by, bacterial infection"
8012,G9365001003,One high-risk medication ordered
8013,G9366001003,One high-risk medication not ordered
8014,G9367001003,At least two orders for high-risk medications from the same drug class
8015,G9368001003,At least two orders for high-risk medications from the same drug class not
8016,G9368002004,ordered
8017,G9369001003,Individual filled at least two prescriptions for any antipsychotic medication
8018,G9369002004,and had a pdc of 0.8 or greater
8019,G9370001003,Individual who did not fill at least two prescriptions for any antipsychotic
8020,G9370002004,medication or did not have a pdc of 0.8 or greater
8021,G9376001003,Patient continued to have the retina attached at the 6 months follow up visit
8022,G9376002004,(+/- 1 month) following only one surgery
8023,G9377001003,Patient did not have the retina attached after 6 months following only one
8024,G9377002004,surgery
8025,G9378001003,Patient continued to have the retina attached at the 6 months follow up visit
8026,G9378002004,(+/- 1 month)
8027,G9379001003,Patient did not achieve flat retinas six months post surgery
8028,G9380001003,Patient offered assistance with end of life issues or existing end of life plan
8029,G9380002004,was reviewed or updated during the measurement period
8030,G9381001003,Documentation of medical reason(s) for not offering assistance with end of life
8031,G9381002004,"issues (e.g., patient in hospice care, patient in terminal phase) during the"
8032,G9381003004,measurement period
8033,G9382001003,Patient not offered assistance with end of life issues or existing end of life
8034,G9382002004,plan was not reviewed or updated during the measurement period
8035,G9383001003,Patient received screening for hcv infection within the 12 month reporting
8036,G9383002004,period
8037,G9384001003,Documentation of medical reason(s) for not receiving annual screening for hcv
8038,G9384002004,"infection (e.g., decompensated cirrhosis indicating advanced disease [i.e.,"
8039,G9384003004,"ascites, esophageal variceal bleeding, hepatic encephalopathy], hepatocellular"
8040,G9384004004,"carcinoma, waitlist for organ transplant, limited life expectancy, other"
8041,G9384005004,medical reasons)
8042,G9385001003,Documentation of patient reason(s) for not receiving annual screening for hcv
8043,G9385002004,"infection (e.g., patient declined, other patient reasons)"
8044,G9386001003,"Screening for hcv infection not received within the 12 month reporting period,"
8045,G9386002004,reason not given
8046,G9389001003,Unplanned rupture of the posterior capsule requiring vitrectomy during cataract
8047,G9389002004,surgery
8048,G9390001003,No unplanned rupture of the posterior capsule requiring vitrectomy during
8049,G9390002004,cataract surgery
8050,G9391001003,"Patient achieves refraction +-1 d for the eye that underwent cataract surgery,"
8051,G9391002004,measured at the one month follow up visit
8052,G9392001003,Patient does not achieve refraction +-1 d for the eye that underwent cataract
8053,G9392002004,"surgery, measured at the one month follow up visit"
8054,G9393001003,Patient with an initial phq-9 score greater than nine who achieves remission at
8055,G9393002004,twelve months as demonstrated by a twelve month (+/- 30 days) phq-9 score of
8056,G9393003004,less than five
8057,G9394001003,"Patient who had a diagnosis of bipolar disorder or personality disorder, death,"
8058,G9394002004,permanent nursing home resident or receiving hospice or palliative care any
8059,G9394003004,time during the measurement or assessment period
8060,G9395001003,Patient with an initial phq-9 score greater than nine who did not achieve
8061,G9395002004,remission at twelve months as demonstrated by a twelve month (+/- 30 days)
8062,G9395003004,phq-9 score greater than or equal to five
8063,G9396001003,Patient with an initial phq-9 score greater than nine who was not assessed for
8064,G9396002004,remission at twelve months (+/- 30 days)
8065,G9399001003,Documentation in the patient record of a discussion between the
8066,G9399002004,physician/clinician and the patient that includes all of the following:
8067,G9399003004,"treatment choices appropriate to genotype, risks and benefits, evidence of"
8068,G9399004004,"effectiveness, and patient preferences toward the outcome of the treatment"
8069,G9400001003,Documentation of medical or patient reason(s) for not discussing treatment
8070,G9400002004,options; medical reasons: patient is not a candidate for treatment due to
8071,G9400003004,advanced physical or mental health comorbidity (including active substance
8072,G9400004004,use); currently receiving antiviral treatment; successful antiviral treatment
8073,G9400005004,(with sustained virologic response) prior to reporting period; other documented
8074,G9400006004,medical reasons; patient reasons: patient unable or unwilling to participate in
8075,G9400007004,the discussion or other patient reasons
8076,G9401001003,No documentation in the patient record of a discussion between the physician or
8077,G9401002004,other qualified healthcare professional and the patient that includes all of
8078,G9401003004,"the following: treatment choices appropriate to genotype, risks and benefits,"
8079,G9401004004,"evidence of effectiveness, and patient preferences toward treatment"
8080,G9402001003,Patient received follow-up within 30 days after discharge
8081,G9403001003,Clinician documented reason patient was not able to complete 30 day follow-up
8082,G9403002004,"from acute inpatient setting discharge (e.g., patient death prior to follow-up"
8083,G9403003004,"visit, patient non-compliant for visit follow-up)"
8084,G9404001003,Patient did not receive follow-up within 30 days after discharge
8085,G9405001003,Patient received follow-up within 7 days after discharge
8086,G9406001003,Clinician documented reason patient was not able to complete 7 day follow-up
8087,G9406002004,from acute inpatient setting discharge (i.e patient death prior to follow-up
8088,G9406003004,"visit, patient non-compliance for visit follow-up)"
8089,G9407001003,Patient did not receive follow-up within 7 days after discharge
8090,G9408001003,Patients with cardiac tamponade and/or pericardiocentesis occurring within 30
8091,G9408002004,days
8092,G9409001003,Patients without cardiac tamponade and/or pericardiocentesis occurring within
8093,G9409002004,30 days
8094,G9410001003,"Patient admitted within 180 days, status post cied implantation, replacement,"
8095,G9410002004,or revision with an infection requiring device removal or surgical revision
8096,G9411001003,"Patient not admitted within 180 days, status post cied implantation,"
8097,G9411002004,"replacement, or revision with an infection requiring device removal or surgical"
8098,G9411003004,revision
8099,G9412001003,"Patient admitted within 180 days, status post cied implantation, replacement,"
8100,G9412002004,or revision with an infection requiring device removal or surgical revision
8101,G9413001003,"Patient not admitted within 180 days, status post cied implantation,"
8102,G9413002004,"replacement, or revision with an infection requiring device removal or surgical"
8103,G9413003004,revision
8104,G9414001003,"Patient had one dose of meningococcal vaccine (serogroups a, c, w, y) on or"
8105,G9414002004,between the patient's 11th and 13th birthdays
8106,G9415001003,"Patient did not have one dose of meningococcal vaccine (serogroups a, c, w, y)"
8107,G9415002004,on or between the patient's 11th and 13th birthdays
8108,G9416001003,"Patient had one tetanus, diphtheria toxoids and acellular pertussis vaccine"
8109,G9416002004,(tdap) on or between the patient's 10th and 13th birthdays
8110,G9417001003,"Patient did not have one tetanus, diphtheria toxoids and acellular pertussis"
8111,G9417002004,vaccine (tdap) on or between the patient's 10th and 13th birthdays
8112,G9418001003,Primary non-small cell lung cancer lung biopsy and cytology specimen report
8113,G9418002004,documents classification into specific histologic type following iaslc guidance
8114,G9418003004,or classified as nsclc-nos with an explanation
8115,G9419001003,Documentation of medical reason(s) for not including the histological type or
8116,G9419002004,nsclc-nos classification with an explanation (e.g. specimen insufficient or
8117,G9419003004,"non-diagnostic, specimen does not contain cancer, or other documented medical"
8118,G9419004004,reasons)
8119,G9420001003,Specimen site other than anatomic location of lung or is not classified as
8120,G9420002004,primary non-small cell lung cancer
8121,G9421001003,Primary non-small cell lung cancer lung biopsy and cytology specimen report
8122,G9421002004,does not document classification into specific histologic type or histologic
8123,G9421003004,type does not follow iaslc guidance or is classified as nsclc-nos but without
8124,G9421004004,an explanation
8125,G9422001003,"Primary lung carcinoma resection report documents pt category, pn category and"
8126,G9422002004,"for non-small cell lung cancer, histologic type (e.g., squamous cell carcinoma,"
8127,G9422003004,adenocarcinoma and not nsclc-nos)
8128,G9423001003,"Documentation of medical reason for not including pt category, pn category and"
8129,G9423002004,"histologic type [for patient with appropriate exclusion criteria (e.g.,"
8130,G9423003004,"metastatic disease, benign tumors, malignant tumors other than carcinomas,"
8131,G9423004004,inadequate surgical specimens)]
8132,G9424001003,"Specimen site other than anatomic location of lung, or classified as nsclc-nos"
8133,G9425001003,"Primary lung carcinoma resection report does not document pt category, pn"
8134,G9425002004,"category and for non-small cell lung cancer, histologic type (e.g., squamous"
8135,G9425003004,"cell carcinoma, adenocarcinoma)"
8136,G9426001003,Improvement in median time from ed arrival to initial ed oral or parenteral
8137,G9426002004,pain medication administration performed for ed admitted patients
8138,G9427001003,Improvement in median time from ed arrival to initial ed oral or parenteral
8139,G9427002004,pain medication administration not performed for ed admitted patients
8140,G9428001003,"Pathology report includes the pt category, thickness, ulceration and mitotic"
8141,G9428002004,"rate, peripheral and deep margin status and presence or absence of"
8142,G9428003004,microsatellitosis for invasive tumors
8143,G9429001003,"Documentation of medical reason(s) for not including pt category, thickness,"
8144,G9429002004,"ulceration and mitotic rate, peripheral and deep margin status and presence or"
8145,G9429003004,"absence of microsatellitosis for invasive tumors (e.g., negative skin biopsies,"
8146,G9429004004,"insufficient tissue, or other documented medical reasons)"
8147,G9430001003,Specimen site other than anatomic cutaneous location
8148,G9431001003,"Pathology report does not include the pt category, thickness, ulceration and"
8149,G9431002004,"mitotic rate, peripheral and deep margin status and presence or absence of"
8150,G9431003004,microsatellitosis for invasive tumors
