,code,description,category,last_updated
5925,M93,Other osteochondropathies,Other osteochondropathies,2025-09-07
5926,M930,Slipped upper femoral epiphysis (nontraumatic),Other osteochondropathies,2025-09-07
5927,M931,Kienböck disease of adults,Other osteochondropathies,2025-09-07
5928,M932,Osteochondritis dissecans,Other osteochondropathies,2025-09-07
5929,M938,Other specified osteochondropathies,Other osteochondropathies,2025-09-07
5930,M939,"Osteochondropathy, unspecified",Other osteochondropathies,2025-09-07
5931,M94,Other disorders of cartilage,Other disorders of cartilage,2025-09-07
5932,M940,Chondrocostal junction syndrome [Tietze],Other disorders of cartilage,2025-09-07
5933,M941,Relapsing polychondritis,Other disorders of cartilage,2025-09-07
5934,M942,Chondromalacia,Other disorders of cartilage,2025-09-07
5935,M943,Chondrolysis,Other disorders of cartilage,2025-09-07
5936,M948,Other specified disorders of cartilage,Other disorders of cartilage,2025-09-07
5937,M949,"Disorder of cartilage, unspecified",Other disorders of cartilage,2025-09-07
5938,M95,Other acquired deformities of musculoskeletal system and connective tissue,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5939,M950,Acquired deformity of nose,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5940,M951,Cauliflower ear,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5941,M952,Other acquired deformity of head,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5942,M953,Acquired deformity of neck,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5943,M954,Acquired deformity of chest and rib,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5944,M955,Acquired deformity of pelvis,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5945,M958,Other specified acquired deformities of musculoskeletal system,Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5946,M959,"Acquired deformity of musculoskeletal system, unspecified",Other acquired deformities of musculoskeletal system and connective tissue,2025-09-07
5947,M96,"Postprocedural musculoskeletal disorders, not elsewhere classified","Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5948,M960,Pseudarthrosis after fusion or arthrodesis,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5949,M961,"Postlaminectomy syndrome, not elsewhere classified","Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5950,M962,Postradiation kyphosis,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5951,M963,Postlaminectomy kyphosis,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5952,M964,Postsurgical lordosis,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5953,M965,Postradiation scoliosis,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5954,M966,"Fracture of bone following insertion of orthopaedic implant, joint prosthesis, or bone plate","Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5955,M968,Other postprocedural musculoskeletal disorders,"Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5956,M969,"Postprocedural musculoskeletal disorder, unspecified","Postprocedural musculoskeletal disorders, not elsewhere classified",2025-09-07
5957,M99,"Biomechanical lesions, not elsewhere classified","Biomechanical lesions, not elsewhere classified",2025-09-07
5958,M990,Segmental and somatic dysfunction,"Biomechanical lesions, not elsewhere classified",2025-09-07
5959,M991,Subluxation complex (vertebral),"Biomechanical lesions, not elsewhere classified",2025-09-07
5960,M992,Subluxation stenosis of neural canal,"Biomechanical lesions, not elsewhere classified",2025-09-07
5961,M993,Osseous stenosis of neural canal,"Biomechanical lesions, not elsewhere classified",2025-09-07
5962,M994,Connective tissue stenosis of neural canal,"Biomechanical lesions, not elsewhere classified",2025-09-07
5963,M995,Intervertebral disc stenosis of neural canal,"Biomechanical lesions, not elsewhere classified",2025-09-07
5964,M996,Osseous and subluxation stenosis of intervertebral foramina,"Biomechanical lesions, not elsewhere classified",2025-09-07
5965,M997,Connective tissue and disc stenosis of intervertebral foramina,"Biomechanical lesions, not elsewhere classified",2025-09-07
5966,M998,Other biomechanical lesions,"Biomechanical lesions, not elsewhere classified",2025-09-07
5967,M999,"Biomechanical lesion, unspecified","Biomechanical lesions, not elsewhere classified",2025-09-07
5968,N00,Acute nephritic syndrome,Acute nephritic syndrome,2025-09-07
5969,N000,Acute nephritic syndrome: Minor glomerular abnormality,Acute nephritic syndrome,2025-09-07
5970,N001,Acute nephritic syndrome: Focal and segmental glomerular lesions,Acute nephritic syndrome,2025-09-07
5971,N002,Acute nephritic syndrome: Diffuse membranous glomerulonephritis,Acute nephritic syndrome,2025-09-07
5972,N003,Acute nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,Acute nephritic syndrome,2025-09-07
5973,N004,Acute nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,Acute nephritic syndrome,2025-09-07
5974,N005,Acute nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,Acute nephritic syndrome,2025-09-07
5975,N006,Acute nephritic syndrome: Dense deposit disease,Acute nephritic syndrome,2025-09-07
5976,N007,Acute nephritic syndrome: Diffuse crescentic glomerulonephritis,Acute nephritic syndrome,2025-09-07
5977,N008,Acute nephritic syndrome: Other,Acute nephritic syndrome,2025-09-07
5978,N009,Acute nephritic syndrome: Unspecified,Acute nephritic syndrome,2025-09-07
5979,N01,Rapidly progressive nephritic syndrome,Rapidly progressive nephritic syndrome,2025-09-07
5980,N010,Rapidly progressive nephritic syndrome: Minor glomerular abnormality,Rapidly progressive nephritic syndrome,2025-09-07
5981,N011,Rapidly progressive nephritic syndrome: Focal and segmental glomerular lesions,Rapidly progressive nephritic syndrome,2025-09-07
5982,N012,Rapidly progressive nephritic syndrome: Diffuse membranous glomerulonephritis,Rapidly progressive nephritic syndrome,2025-09-07
5983,N013,Rapidly progressive nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,Rapidly progressive nephritic syndrome,2025-09-07
5984,N014,Rapidly progressive nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,Rapidly progressive nephritic syndrome,2025-09-07
5985,N015,Rapidly progressive nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,Rapidly progressive nephritic syndrome,2025-09-07
5986,N016,Rapidly progressive nephritic syndrome: Dense deposit disease,Rapidly progressive nephritic syndrome,2025-09-07
5987,N017,Rapidly progressive nephritic syndrome: Diffuse crescentic glomerulonephritis,Rapidly progressive nephritic syndrome,2025-09-07
5988,N018,Rapidly progressive nephritic syndrome: Other,Rapidly progressive nephritic syndrome,2025-09-07
5989,N019,Rapidly progressive nephritic syndrome: Unspecified,Rapidly progressive nephritic syndrome,2025-09-07
5990,N02,Recurrent and persistent haematuria,Recurrent and persistent haematuria,2025-09-07
5991,N020,Recurrent and persistent haematuria: Minor glomerular abnormality,Recurrent and persistent haematuria,2025-09-07
5992,N021,Recurrent and persistent haematuria: Focal and segmental glomerular lesions,Recurrent and persistent haematuria,2025-09-07
5993,N022,Recurrent and persistent haematuria: Diffuse membranous glomerulonephritis,Recurrent and persistent haematuria,2025-09-07
5994,N023,Recurrent and persistent haematuria: Diffuse mesangial proliferative glomerulonephritis,Recurrent and persistent haematuria,2025-09-07
5995,N024,Recurrent and persistent haematuria: Diffuse endocapillary proliferative glomerulonephritis,Recurrent and persistent haematuria,2025-09-07
5996,N025,Recurrent and persistent haematuria: Diffuse mesangiocapillary glomerulonephritis,Recurrent and persistent haematuria,2025-09-07
5997,N026,Recurrent and persistent haematuria: Dense deposit disease,Recurrent and persistent haematuria,2025-09-07
5998,N027,Recurrent and persistent haematuria: Diffuse crescentic glomerulonephritis,Recurrent and persistent haematuria,2025-09-07
5999,N028,Recurrent and persistent haematuria: Other,Recurrent and persistent haematuria,2025-09-07
6000,N029,Recurrent and persistent haematuria: Unspecified,Recurrent and persistent haematuria,2025-09-07
6001,N03,Chronic nephritic syndrome,Chronic nephritic syndrome,2025-09-07
6002,N030,Chronic nephritic syndrome: Minor glomerular abnormality,Chronic nephritic syndrome,2025-09-07
6003,N031,Chronic nephritic syndrome: Focal and segmental glomerular lesions,Chronic nephritic syndrome,2025-09-07
6004,N032,Chronic nephritic syndrome: Diffuse membranous glomerulonephritis,Chronic nephritic syndrome,2025-09-07
6005,N033,Chronic nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,Chronic nephritic syndrome,2025-09-07
6006,N034,Chronic nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,Chronic nephritic syndrome,2025-09-07
6007,N035,Chronic nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,Chronic nephritic syndrome,2025-09-07
6008,N036,Chronic nephritic syndrome: Dense deposit disease,Chronic nephritic syndrome,2025-09-07
6009,N037,Chronic nephritic syndrome: Diffuse crescentic glomerulonephritis,Chronic nephritic syndrome,2025-09-07
6010,N038,Chronic nephritic syndrome: Other,Chronic nephritic syndrome,2025-09-07
6011,N039,Chronic nephritic syndrome: Unspecified,Chronic nephritic syndrome,2025-09-07
6012,N04,Nephrotic syndrome,Nephrotic syndrome,2025-09-07
6013,N040,Nephrotic syndrome: Minor glomerular abnormality,Nephrotic syndrome,2025-09-07
6014,N041,Nephrotic syndrome: Focal and segmental glomerular lesions,Nephrotic syndrome,2025-09-07
6015,N042,Nephrotic syndrome: Diffuse membranous glomerulonephritis,Nephrotic syndrome,2025-09-07
6016,N043,Nephrotic syndrome: Diffuse mesangial proliferative glomerulonephritis,Nephrotic syndrome,2025-09-07
6017,N044,Nephrotic syndrome: Diffuse endocapillary proliferative glomerulonephritis,Nephrotic syndrome,2025-09-07
6018,N045,Nephrotic syndrome: Diffuse mesangiocapillary glomerulonephritis,Nephrotic syndrome,2025-09-07
6019,N046,Nephrotic syndrome: Dense deposit disease,Nephrotic syndrome,2025-09-07
6020,N047,Nephrotic syndrome: Diffuse crescentic glomerulonephritis,Nephrotic syndrome,2025-09-07
6021,N048,Nephrotic syndrome: Other,Nephrotic syndrome,2025-09-07
6022,N049,Nephrotic syndrome: Unspecified,Nephrotic syndrome,2025-09-07
6023,N05,Unspecified nephritic syndrome,Unspecified nephritic syndrome,2025-09-07
6024,N050,Unspecified nephritic syndrome: Minor glomerular abnormality,Unspecified nephritic syndrome,2025-09-07
6025,N051,Unspecified nephritic syndrome: Focal and segmental glomerular lesions,Unspecified nephritic syndrome,2025-09-07
6026,N052,Unspecified nephritic syndrome: Diffuse membranous glomerulonephritis,Unspecified nephritic syndrome,2025-09-07
6027,N053,Unspecified nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,Unspecified nephritic syndrome,2025-09-07
6028,N054,Unspecified nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,Unspecified nephritic syndrome,2025-09-07
6029,N055,Unspecified nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,Unspecified nephritic syndrome,2025-09-07
6030,N056,Unspecified nephritic syndrome: Dense deposit disease,Unspecified nephritic syndrome,2025-09-07
6031,N057,Unspecified nephritic syndrome: Diffuse crescentic glomerulonephritis,Unspecified nephritic syndrome,2025-09-07
6032,N058,Unspecified nephritic syndrome: Other,Unspecified nephritic syndrome,2025-09-07
6033,N059,Unspecified nephritic syndrome: Unspecified,Unspecified nephritic syndrome,2025-09-07
6034,N06,Isolated proteinuria with specified morphological lesion,Isolated proteinuria with specified morphological lesion,2025-09-07
6035,N060,Isolated proteinuria with specified morphological lesion: Minor glomerular abnormality,Isolated proteinuria with specified morphological lesion,2025-09-07
6036,N061,Isolated proteinuria with specified morphological lesion: Focal and segmental glomerular lesions,Isolated proteinuria with specified morphological lesion,2025-09-07
6037,N062,Isolated proteinuria with specified morphological lesion: Diffuse membranous glomerulonephritis,Isolated proteinuria with specified morphological lesion,2025-09-07
6038,N063,Isolated proteinuria with specified morphological lesion: Diffuse mesangial proliferative glomerulonephritis,Isolated proteinuria with specified morphological lesion,2025-09-07
6039,N064,Isolated proteinuria with specified morphological lesion: Diffuse endocapillary proliferative glomerulonephritis,Isolated proteinuria with specified morphological lesion,2025-09-07
6040,N065,Isolated proteinuria with specified morphological lesion: Diffuse mesangiocapillary glomerulonephritis,Isolated proteinuria with specified morphological lesion,2025-09-07
6041,N066,Isolated proteinuria with specified morphological lesion: Dense deposit disease,Isolated proteinuria with specified morphological lesion,2025-09-07
6042,N067,Isolated proteinuria with specified morphological lesion: Diffuse crescentic glomerulonephritis,Isolated proteinuria with specified morphological lesion,2025-09-07
6043,N068,Isolated proteinuria with specified morphological lesion: Other,Isolated proteinuria with specified morphological lesion,2025-09-07
6044,N069,Isolated proteinuria with specified morphological lesion: Unspecified,Isolated proteinuria with specified morphological lesion,2025-09-07
6045,N07,"Hereditary nephropathy, not elsewhere classified","Hereditary nephropathy, not elsewhere classified",2025-09-07
6046,N070,"Hereditary nephropathy, not elsewhere classified: Minor glomerular abnormality","Hereditary nephropathy, not elsewhere classified",2025-09-07
6047,N071,"Hereditary nephropathy, not elsewhere classified: Focal and segmental glomerular lesions","Hereditary nephropathy, not elsewhere classified",2025-09-07
6048,N072,"Hereditary nephropathy, not elsewhere classified: Diffuse membranous glomerulonephritis","Hereditary nephropathy, not elsewhere classified",2025-09-07
6049,N073,"Hereditary nephropathy, not elsewhere classified: Diffuse mesangial proliferative glomerulonephritis","Hereditary nephropathy, not elsewhere classified",2025-09-07
6050,N074,"Hereditary nephropathy, not elsewhere classified: Diffuse endocapillary proliferative glomerulonephritis","Hereditary nephropathy, not elsewhere classified",2025-09-07
6051,N075,"Hereditary nephropathy, not elsewhere classified: Diffuse mesangiocapillary glomerulonephritis","Hereditary nephropathy, not elsewhere classified",2025-09-07
6052,N076,"Hereditary nephropathy, not elsewhere classified: Dense deposit disease","Hereditary nephropathy, not elsewhere classified",2025-09-07
6053,N077,"Hereditary nephropathy, not elsewhere classified: Diffuse crescentic glomerulonephritis","Hereditary nephropathy, not elsewhere classified",2025-09-07
6054,N078,"Hereditary nephropathy, not elsewhere classified: Other","Hereditary nephropathy, not elsewhere classified",2025-09-07
6055,N079,"Hereditary nephropathy, not elsewhere classified: Unspecified","Hereditary nephropathy, not elsewhere classified",2025-09-07
6056,N08,Glomerular disorders in diseases classified elsewhere,Glomerular disorders in diseases classified elsewhere,2025-09-07
6057,N080,Glomerular disorders in infectious and parasitic diseases classified elsewhere,Glomerular disorders in diseases classified elsewhere,2025-09-07
6058,N081,Glomerular disorders in neoplastic diseases,Glomerular disorders in diseases classified elsewhere,2025-09-07
6059,N082,Glomerular disorders in blood diseases and disorders involving the immune mechanism,Glomerular disorders in diseases classified elsewhere,2025-09-07
6060,N083,Glomerular disorders in diabetes mellitus,Glomerular disorders in diseases classified elsewhere,2025-09-07
6061,N084,"Glomerular disorders in other endocrine, nutritional and metabolic diseases",Glomerular disorders in diseases classified elsewhere,2025-09-07
6062,N085,Glomerular disorders in systemic connective tissue disorders,Glomerular disorders in diseases classified elsewhere,2025-09-07
6063,N088,Glomerular disorders in other diseases classified elsewhere,Glomerular disorders in diseases classified elsewhere,2025-09-07
6064,N10,Acute tubulo-interstitial nephritis,Acute tubulo-interstitial nephritis,2025-09-07
6065,N11,Chronic tubulo-interstitial nephritis,Chronic tubulo-interstitial nephritis,2025-09-07
6066,N110,Nonobstructive reflux-associated chronic pyelonephritis,Chronic tubulo-interstitial nephritis,2025-09-07
6067,N111,Chronic obstructive pyelonephritis,Chronic tubulo-interstitial nephritis,2025-09-07
6068,N118,Other chronic tubulo-interstitial nephritis,Chronic tubulo-interstitial nephritis,2025-09-07
6069,N119,"Chronic tubulo-interstitial nephritis, unspecified",Chronic tubulo-interstitial nephritis,2025-09-07
6070,N12,"Tubulo-interstitial nephritis, not specified as acute or chronic","Tubulo-interstitial nephritis, not specified as acute or chronic",2025-09-07
6071,N13,Obstructive and reflux uropathy,Obstructive and reflux uropathy,2025-09-07
6072,N130,Hydronephrosis with ureteropelvic junction obstruction,Obstructive and reflux uropathy,2025-09-07
6073,N131,"Hydronephrosis with ureteral stricture, not elsewhere classified",Obstructive and reflux uropathy,2025-09-07
6074,N132,Hydronephrosis with renal and ureteral calculous obstruction,Obstructive and reflux uropathy,2025-09-07
6075,N133,Other and unspecified hydronephrosis,Obstructive and reflux uropathy,2025-09-07
6076,N134,Hydroureter,Obstructive and reflux uropathy,2025-09-07
6077,N135,Kinking and stricture of ureter without hydronephrosis,Obstructive and reflux uropathy,2025-09-07
6078,N136,Pyonephrosis,Obstructive and reflux uropathy,2025-09-07
6079,N137,Vesicoureteral-reflux-associated uropathy,Obstructive and reflux uropathy,2025-09-07
6080,N138,Other obstructive and reflux uropathy,Obstructive and reflux uropathy,2025-09-07
6081,N139,"Obstructive and reflux uropathy, unspecified",Obstructive and reflux uropathy,2025-09-07
6082,N14,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6083,N140,Analgesic nephropathy,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6084,N141,"Nephropathy induced by other drugs, medicaments and biological substances",Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6085,N142,"Nephropathy induced by unspecified drug, medicament or biological substance",Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6086,N143,Nephropathy induced by heavy metals,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6087,N144,"Toxic nephropathy, not elsewhere classified",Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,2025-09-07
6088,N15,Other renal tubulo-interstitial diseases,Other renal tubulo-interstitial diseases,2025-09-07
6089,N150,Balkan nephropathy,Other renal tubulo-interstitial diseases,2025-09-07
6090,N151,Renal and perinephric abscess,Other renal tubulo-interstitial diseases,2025-09-07
6091,N158,Other specified renal tubulo-interstitial diseases,Other renal tubulo-interstitial diseases,2025-09-07
6092,N159,"Renal tubulo-interstitial disease, unspecified",Other renal tubulo-interstitial diseases,2025-09-07
6093,N16,Renal tubulo-interstitial disorders in diseases classified elsewhere,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6094,N160,Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6095,N161,Renal tubulo-interstitial disorders in neoplastic diseases,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6096,N162,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6097,N163,Renal tubulo-interstitial disorders in metabolic diseases,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6098,N164,Renal tubulo-interstitial disorders in systemic connective tissue disorders,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6099,N165,Renal tubulo-interstitial disorders in transplant rejection,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6100,N168,Renal tubulo-interstitial disorders in other diseases classified elsewhere,Renal tubulo-interstitial disorders in diseases classified elsewhere,2025-09-07
6101,N17,Acute renal failure,Acute renal failure,2025-09-07
6102,N170,Acute renal failure with tubular necrosis,Acute renal failure,2025-09-07
6103,N171,Acute renal failure with acute cortical necrosis,Acute renal failure,2025-09-07
6104,N172,Acute renal failure with medullary necrosis,Acute renal failure,2025-09-07
6105,N178,Other acute renal failure,Acute renal failure,2025-09-07
6106,N179,"Acute renal failure, unspecified",Acute renal failure,2025-09-07
6107,N18,Chronic kidney disease,Chronic kidney disease,2025-09-07
6108,N181,"Chronic kidney disease, stage 1",Chronic kidney disease,2025-09-07
6109,N182,"Chronic kidney disease, stage 2",Chronic kidney disease,2025-09-07
6110,N183,"Chronic kidney disease, stage 3",Chronic kidney disease,2025-09-07
6111,N184,"Chronic kidney disease, stage 4",Chronic kidney disease,2025-09-07
6112,N185,"Chronic kidney disease, stage 5",Chronic kidney disease,2025-09-07
6113,N189,"Chronic kidney disease, unspecified",Chronic kidney disease,2025-09-07
6114,N19,Unspecified kidney failure,Unspecified kidney failure,2025-09-07
6115,N20,Calculus of kidney and ureter,Calculus of kidney and ureter,2025-09-07
6116,N200,Calculus of kidney,Calculus of kidney and ureter,2025-09-07
6117,N201,Calculus of ureter,Calculus of kidney and ureter,2025-09-07
6118,N202,Calculus of kidney with calculus of ureter,Calculus of kidney and ureter,2025-09-07
6119,N209,"Urinary calculus, unspecified",Calculus of kidney and ureter,2025-09-07
6120,N21,Calculus of lower urinary tract,Calculus of lower urinary tract,2025-09-07
6121,N210,Calculus in bladder,Calculus of lower urinary tract,2025-09-07
6122,N211,Calculus in urethra,Calculus of lower urinary tract,2025-09-07
6123,N218,Other lower urinary tract calculus,Calculus of lower urinary tract,2025-09-07
6124,N219,"Calculus of lower urinary tract, unspecified",Calculus of lower urinary tract,2025-09-07
6125,N22,Calculus of urinary tract in diseases classified elsewhere,Calculus of urinary tract in diseases classified elsewhere,2025-09-07
6126,N220,Urinary calculus in schistosomiasis [bilharziasis],Calculus of urinary tract in diseases classified elsewhere,2025-09-07
6127,N228,Calculus of urinary tract in other diseases classified elsewhere,Calculus of urinary tract in diseases classified elsewhere,2025-09-07
6128,N23,Unspecified renal colic,Unspecified renal colic,2025-09-07
6129,N25,Disorders resulting from impaired renal tubular function,Disorders resulting from impaired renal tubular function,2025-09-07
6130,N250,Renal osteodystrophy,Disorders resulting from impaired renal tubular function,2025-09-07
6131,N251,Nephrogenic diabetes insipidus,Disorders resulting from impaired renal tubular function,2025-09-07
6132,N258,Other disorders resulting from impaired renal tubular function,Disorders resulting from impaired renal tubular function,2025-09-07
6133,N259,"Disorder resulting from impaired renal tubular function, unspecified",Disorders resulting from impaired renal tubular function,2025-09-07
6134,N26,Unspecified contracted kidney,Unspecified contracted kidney,2025-09-07
6135,N27,Small kidney of unknown cause,Small kidney of unknown cause,2025-09-07
6136,N270,"Small kidney, unilateral",Small kidney of unknown cause,2025-09-07
6137,N271,"Small kidney, bilateral",Small kidney of unknown cause,2025-09-07
6138,N279,"Small kidney, unspecified",Small kidney of unknown cause,2025-09-07
6139,N28,"Other disorders of kidney and ureter, not elsewhere classified","Other disorders of kidney and ureter, not elsewhere classified",2025-09-07
6140,N280,Ischaemia and infarction of kidney,"Other disorders of kidney and ureter, not elsewhere classified",2025-09-07
6141,N281,Cyst of kidney,"Other disorders of kidney and ureter, not elsewhere classified",2025-09-07
6142,N288,Other specified disorders of kidney and ureter,"Other disorders of kidney and ureter, not elsewhere classified",2025-09-07
6143,N289,"Disorder of kidney and ureter, unspecified","Other disorders of kidney and ureter, not elsewhere classified",2025-09-07
6144,N29,Other disorders of kidney and ureter in diseases classified elsewhere,Other disorders of kidney and ureter in diseases classified elsewhere,2025-09-07
6145,N290,Late syphilis of kidney,Other disorders of kidney and ureter in diseases classified elsewhere,2025-09-07
6146,N291,Other disorders of kidney and ureter in infectious and parasitic diseases classified elsewhere,Other disorders of kidney and ureter in diseases classified elsewhere,2025-09-07
6147,N298,Other disorders of kidney and ureter in other diseases classified elsewhere,Other disorders of kidney and ureter in diseases classified elsewhere,2025-09-07
6148,N30,Cystitis,Cystitis,2025-09-07
6149,N300,Acute cystitis,Cystitis,2025-09-07
6150,N301,Interstitial cystitis (chronic),Cystitis,2025-09-07
6151,N302,Other chronic cystitis,Cystitis,2025-09-07
6152,N303,Trigonitis,Cystitis,2025-09-07
6153,N304,Irradiation cystitis,Cystitis,2025-09-07
6154,N308,Other cystitis,Cystitis,2025-09-07
6155,N309,"Cystitis, unspecified",Cystitis,2025-09-07
6156,N31,"Neuromuscular dysfunction of bladder, not elsewhere classified","Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6157,N310,"Uninhibited neuropathic bladder, not elsewhere classified","Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6158,N311,"Reflex neuropathic bladder, not elsewhere classified","Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6159,N312,"Flaccid neuropathic bladder, not elsewhere classified","Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6160,N318,Other neuromuscular dysfunction of bladder,"Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6161,N319,"Neuromuscular dysfunction of bladder, unspecified","Neuromuscular dysfunction of bladder, not elsewhere classified",2025-09-07
6162,N32,Other disorders of bladder,Other disorders of bladder,2025-09-07
6163,N320,Bladder-neck obstruction,Other disorders of bladder,2025-09-07
6164,N321,Vesicointestinal fistula,Other disorders of bladder,2025-09-07
6165,N322,"Vesical fistula, not elsewhere classified",Other disorders of bladder,2025-09-07
6166,N323,Diverticulum of bladder,Other disorders of bladder,2025-09-07
6167,N324,"Rupture of bladder, nontraumatic",Other disorders of bladder,2025-09-07
6168,N328,Other specified disorders of bladder,Other disorders of bladder,2025-09-07
6169,N329,"Bladder disorder, unspecified",Other disorders of bladder,2025-09-07
6170,N33,Bladder disorders in diseases classified elsewhere,Bladder disorders in diseases classified elsewhere,2025-09-07
6171,N330,Tuberculous cystitis,Bladder disorders in diseases classified elsewhere,2025-09-07
6172,N338,Bladder disorders in other diseases classified elsewhere,Bladder disorders in diseases classified elsewhere,2025-09-07
6173,N34,Urethritis and urethral syndrome,Urethritis and urethral syndrome,2025-09-07
6174,N340,Urethral abscess,Urethritis and urethral syndrome,2025-09-07
6175,N341,Nonspecific urethritis,Urethritis and urethral syndrome,2025-09-07
6176,N342,Other urethritis,Urethritis and urethral syndrome,2025-09-07
6177,N343,"Urethral syndrome, unspecified",Urethritis and urethral syndrome,2025-09-07
6178,N35,Urethral stricture,Urethral stricture,2025-09-07
6179,N350,Post-traumatic urethral stricture,Urethral stricture,2025-09-07
6180,N351,"Postinfective urethral stricture, not elsewhere classified",Urethral stricture,2025-09-07
6181,N358,Other urethral stricture,Urethral stricture,2025-09-07
6182,N359,"Urethral stricture, unspecified",Urethral stricture,2025-09-07
6183,N36,Other disorders of urethra,Other disorders of urethra,2025-09-07
6184,N360,Urethral fistula,Other disorders of urethra,2025-09-07
6185,N361,Urethral diverticulum,Other disorders of urethra,2025-09-07
6186,N362,Urethral caruncle,Other disorders of urethra,2025-09-07
6187,N363,Prolapsed urethral mucosa,Other disorders of urethra,2025-09-07
6188,N368,Other specified disorders of urethra,Other disorders of urethra,2025-09-07
6189,N369,"Urethral disorder, unspecified",Other disorders of urethra,2025-09-07
6190,N37,Urethral disorders in diseases classified elsewhere,Urethral disorders in diseases classified elsewhere,2025-09-07
6191,N370,Urethritis in diseases classified elsewhere,Urethral disorders in diseases classified elsewhere,2025-09-07
6192,N378,Other urethral disorders in diseases classified elsewhere,Urethral disorders in diseases classified elsewhere,2025-09-07
6193,N39,Other disorders of urinary system,Other disorders of urinary system,2025-09-07
6194,N390,"Urinary tract infection, site not specified",Other disorders of urinary system,2025-09-07
6195,N391,"Persistent proteinuria, unspecified",Other disorders of urinary system,2025-09-07
6196,N392,"Orthostatic proteinuria, unspecified",Other disorders of urinary system,2025-09-07
6197,N393,Stress incontinence,Other disorders of urinary system,2025-09-07
6198,N394,Other specified urinary incontinence,Other disorders of urinary system,2025-09-07
6199,N398,Other specified disorders of urinary system,Other disorders of urinary system,2025-09-07
6200,N399,"Disorder of urinary system, unspecified",Other disorders of urinary system,2025-09-07
6201,N40,Hyperplasia of prostate,Hyperplasia of prostate,2025-09-07
6202,N41,Inflammatory diseases of prostate,Inflammatory diseases of prostate,2025-09-07
6203,N410,Acute prostatitis,Inflammatory diseases of prostate,2025-09-07
6204,N411,Chronic prostatitis,Inflammatory diseases of prostate,2025-09-07
6205,N412,Abscess of prostate,Inflammatory diseases of prostate,2025-09-07
6206,N413,Prostatocystitis,Inflammatory diseases of prostate,2025-09-07
6207,N418,Other inflammatory diseases of prostate,Inflammatory diseases of prostate,2025-09-07
6208,N419,"Inflammatory disease of prostate, unspecified",Inflammatory diseases of prostate,2025-09-07
